Timestamp,gender,age,state,monthly_income,subscription_reason,subscription_plan,payment,device,pref_time,watch_duration,fav_genre,movie_recom,rating,netflix_recom,feedback
8/2/2023 17:34:28,Female,18 - 25,Kuala Lumpur,Below RM1000,"Good original content, Good recommendation system",Mobile,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,1 to 3 hours,"Action, Adventure, Comedy, Thriller",Minion,4,5,
8/2/2023 20:34:27,Male,18 - 25,Johor,RM0,Good recommendation system,Mobile,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smartphones & Tablets,Weekends,1 to 3 hours,Action,The Amazing Spider-Man,4,3,
8/3/2023 11:57:38,Male,18 - 25,Penang,RM0,Good original content,Standard,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,More than 10 hours,"Action, Adventure, Drama",Train to Busan,4,5,Hahaha pippupu
8/3/2023 13:04:55,Female,18 - 25,Johor,RM0,"Have a wide variety of shows, Good video quality",Mobile,Mobile Wallet (eg: Touch 'n Go),Smart TVs,Weekends,Less than 1 hour,"Action, Adventure, Comedy, Musical",Train to Busan,4,3,
8/3/2023 16:08:54,Male,18 - 25,Kuala Lumpur,Below RM1000,Affordable,Basic,Mobile Wallet (eg: Touch 'n Go),"Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smartphones & Tablets, PCs & Laptops",Weekends,Less than 1 hour,"Adventure, Comedy, Drama",John Wick: Chapter 3 - Parabellum,4,2,
8/3/2023 16:10:39,Male,18 - 25,Pahang,RM0,Good original content,Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smart TVs,Weekends,1 to 3 hours,Comedy,Barbie,5,4,TV Box the best
8/3/2023 16:11:06,Male,18 - 25,Kuala Lumpur,RM0,Good original content,Basic,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,1 to 3 hours,Action,Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,3,3,
8/3/2023 16:14:19,Male,18 - 25,Selangor,RM0,Affordable,Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Streaming Media Players (e.g. Roku, Chromecast, Apple TV)","Weekdays, Weekends",Less than 1 hour,"Action, Adventure",Train to Busan,3,3,
8/3/2023 16:14:32,Male,18 - 25,Negeri Sembilan,RM0,"Affordable, Good video quality",Premium,Mobile Wallet (eg: Touch 'n Go),"Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smart TVs","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Fantasy, Musical, Mystery, Romance",Train to Busan,5,5,
8/3/2023 16:23:03,Male,18 - 25,Selangor,Below RM1000,"Have a wide variety of shows, Good video quality",Premium,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smart TVs, Smartphones & Tablets, PCs & Laptops",Weekends,4 to 7 hours,"Action, Adventure, Musical, Horror, Mystery",John Wick: Chapter 3 - Parabellum,3,4,
8/3/2023 16:23:11,Male,18 - 25,Negeri Sembilan,RM0,Good original content,Basic,Mobile Wallet (eg: Touch 'n Go),Smart TVs,Weekends,1 to 3 hours,"Action, Comedy, Drama",John Wick: Chapter 3 - Parabellum,4,4,
8/3/2023 16:27:41,Female,18 - 25,Kuala Lumpur,RM0,"Good original content, Have a wide variety of shows, Good video quality",Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smart TVs, Set-top Boxes, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Drama, Thriller, Mystery, Romance, Psychological",Spirited Away,4,4,
8/3/2023 16:34:14,Female,18 - 25,Selangor,RM0,Have a wide variety of shows,Standard,Netflix Gift Cards,PCs & Laptops,"Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Horror",Train to Busan,3,3,
8/3/2023 16:39:04,Female,18 - 25,Selangor,RM0,Have a wide variety of shows,Basic,Mobile Wallet (eg: Touch 'n Go),Smart TVs,Weekends,1 to 3 hours,"Adventure, Comedy, Fantasy",Spirited Away,4,4,
